Ticker,Description
UCYB,"The index is a modified liquidity weighted index comprised of companies classified as ""cybersecurity"" companies by CTA. The Advisor expects that its cash balances maintained in connection with the use of financial instruments will typically be held in money market instruments. It invests in common stock issued by public companies. The fund invests in derivatives, which are financial instruments whose value is derived from the value of an underlying asset or assets. The fund is non-diversified."
EBR,"Centrais Eletricas Brasileiras S.A. - Eletrobras, through its subsidiaries, engages in the generation, transmission, and distribution of electricity in Brazil. The company generates electricity through hydroelectric, thermal, nuclear, wind, and solar plants. As of December 31, 2021, it owned and operated 32 hydroelectric plants with a total installed capacity of 46,295.75 megawatts; nine thermal plants, including coal, and oil and gas power generation units with a total installed capacity of 1,505 megawatts; and two nuclear power plants comprising Angra I with an installed capacity of 640 megawatts and Angra II with an installed capacity of 1,350 megawatts. It also operates 66,556 kilometers of transmission lines. The company was incorporated in 1962 and is based in Rio de Janeiro, Brazil."
SPT,"Sprout Social, Inc. designs, develops, and operates a web-based social media management platform in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It provides cloud software that brings together social messaging, data, and workflows in a unified system of record, intelligence, and action. The company offers provides various integrated tools in a range of functions comprising social engagement/response, publishing, reporting and analytics, social listening and business intelligence, reputation management, employee advocacy, and automation and workflows. Its tools serve a range of use-cases within its customers' organizations, including social and community management, public relations, marketing, customer service and care, commerce, sales and customer acquisition, recruiting and hiring, product development, and business strategy. The company also offers professional services, which primarily consist of consulting and training services. It serves approximately more than 31,000 customers across small-and-medium-sized businesses, mid-market companies, enterprises, marketing agencies, government, non-profit, and educational institutions. The company was incorporated in 2010 and is headquartered in Chicago, Illinois."
EEMO,"The fund will invest at least 90% of its total assets in securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures, the index provider compiles, maintains and calculates the underlying index, which is composed of constituents of the S&P Emerging Plus LargeMidCap that have the highest ""momentum score."""
HII,"Huntington Ingalls Industries, Inc. engages in designing, building, overhauling, and repairing military ships in the United States. It operates through three segments: Ingalls Shipbuilding, Newport News Shipbuilding, and Technical Solutions. The company is involved in the design and construction of non-nuclear ships comprising amphibious assault ships; expeditionary warfare ships; surface combatants; and national security cutters for the U.S. Navy and U.S. Coast Guard. It also provides nuclear-powered ships, such as aircraft carriers and submarines, as well as refueling and overhaul, and inactivation services of ships. In addition, the company offers naval nuclear support services, including fleet services comprising design, construction, maintenance, and disposal activities for in-service the U.S. Navy nuclear ships; and maintenance services on nuclear reactor prototypes. Further, it provides life-cycle sustainment services to the U.S. Navy fleet and other maritime customers; high-end information technology and mission-based solutions for Department of Defense (DoD), intelligence, and federal civilian customers; nuclear management and operations and environmental management services for the Department of Energy, DoD, state and local governments, and private sector companies; defense and federal solutions; and unmanned systems. Huntington Ingalls Industries, Inc. was founded in 1886 and is headquartered in Newport News, Virginia."
BUG,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are positioned to benefit from increased adoption of cybersecurity technology. The fund is non-diversified."
ATXI,"Avenue Therapeutics, Inc., a specialty pharmaceutical company, develops and commercializes products primarily for use in the acute/intensive care hospital setting. Its product candidate is intravenous Tramadol, a synthetic dual-acting opioid, which is in Phase III clinical trials for the treatment of post-operative acute pain. The company was incorporated in 2015 and is based in New York, New York."
VAC,"Marriott Vacations Worldwide Corporation, a vacation company, develops, markets, sells, and manages vacation ownership and related products. It operates through two segments, Vacation Ownership and Exchange & Third-Party Management. The company manages vacation ownership and related products under the Marriott Vacation Club, Grand Residences by Marriott, Sheraton Vacation Club, Westin Vacation Club, Hyatt Residence Club, and Marriott Vacation Club Pulse brands. It also develops, markets, and sells vacation ownership and related products under The Ritz-Carlton Destination Club brand; and holds right to develop, market, and sell ownership residential products under The Ritz-Carlton Residences brand. In addition, the company offers exchange networks and membership programs, as well as provision of management services to other resorts and lodging properties through various brands, including Interval International, Trading Places International, Vacation Resorts International, and Aqua-Aston. The company sells its upscale tier vacation ownership products primarily through a network of resort-based sales centers and off-site sales locations. Marriott Vacations Worldwide Corporation was founded in 1984 and is headquartered in Orlando, Florida."
PUTW,"Under normal circumstances, at least 80% of the fund's total assets will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index tracks the value of a cash-secured put option sales strategy, which consists of selling put options on the SPDR S&P 500 ETF Trust and a cash collateral account that accrues interest at a theoretical three-month treasury bill rate. The fund is non-diversified."
IWX,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
IBDD,"The fund will invest at least 80% of its assets in the component securities of the index and will invest at least 90% of its assets in fixed income securities of the types included in the index. The index includes U.S. dollar-denominated, investment-grade securities publicly issued by U.S. and non-U.S. corporate issuers that have $300 million or more of outstanding face value at the time of inclusion."
SMLF,"The fund will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index is designed to select equities from the MSCI USA Small Cap Index that have high exposure to four investment style factors: value, quality, momentum and low size, maintaining a level of risk similar to that of the parent index."
MXC,"Mexco Energy Corporation, an independent oil and gas company, engages in the acquisition, exploration, development, and production of natural gas, crude oil, condensate, and natural gas liquids in the United States. It owns partial interests in approximately 6,300 gross producing wells located in the states of Texas, New Mexico, Oklahoma, Louisiana, Alabama, Mississippi, Arkansas, Wyoming, Kansas, Colorado, Montana, Virginia, North Dakota, and Ohio. As of March 31, 2022, the company's total estimated proved reserves were approximately 1.616 million barrels of oil equivalent. It also owned leasehold mineral, royalty, and other interests in approximately 2,970 net acres. The company was formerly known as Miller Oil Company and changed its name to Mexco Energy Corporation in April 1980. Mexco Energy Corporation was incorporated in 1972 and is based in Midland, Texas."
XSD,"In seeking to track the performance of the S&P Semiconductor Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the semiconductors segment of the S&P Total Market Index (""S&P TMI"")."
GGG,"Graco Inc. designs, manufactures, and markets systems and equipment used to move, measure, control, dispense, and spray fluid and powder materials worldwide. The company's Industrial segment offers proportioning systems to spray polyurethane foam and polyurea coatings; equipment that pumps, meters, mixes and dispenses sealant, adhesive, and composite materials; and gel-coat equipment, chop and wet-out systems, resin transfer molding systems and applicators, and precision dispensing solutions. It also provides liquid finishing equipment; paint circulating and supply pumps; paint circulating advanced control systems; plural component coating proportioners; spare parts and accessories; and powder finishing products to coat powder finishing on metals under the Gema and SAT brands. The company's Process segment offers pumps to move and dispense chemicals, water, wastewater, petroleum, food, lubricants, and other fluids; pressure valves used in the oil and natural gas industry, other industrial processes, and research facilities; and chemical injection pumping solutions for injection of chemicals into producing oil wells and pipelines. It also supplies pumps, hose reels, meters, valves, and accessories for fast oil change facilities, service garages, fleet service centers, automobile dealerships, auto parts stores, truck builders, and heavy equipment service centers; and systems, components, and accessories for the automatic lubrication of bearings, gears, and generators in industrial and commercial equipment, compressors, turbines, and on- and off-road vehicles. The company's Contractor segment offers sprayers to apply paint to walls and other structures; and viscous coatings to roofs, as well as markings on roads, parking lots, athletic fields, and floors. It sells its products through distributors, original equipment manufacturers, and home center channels; and directly to end-users. The company was incorporated in 1926 and is headquartered in Minneapolis, Minnesota."
ATLX,"Atlas Lithium Corporation operates as a mineral exploration and mining company in Brazil. It focuses on advancing and developing its 100%-owned hard-rock lithium project, which consists of 52 mineral rights covering an area of 56,078 acres that is located primarily in the municipality of Aracuai in the Vale do Jequitinhonha region of the state of Minas Gerais in Brazil. It also owns 100% interests in various mining concessions for gold, diamond, and industrial sand; and participates in iron and quartzite projects. The company was formerly known as Atlas Lithium Corporation and changed its name to Brazil Minerals, Inc. in October 2022. Atlas Lithium Corporation is based in Beverly Hills, California."
WFH,"The fund, under normal circumstances, invests at least 80% of its assets in the securities that comprise the index or investments with economic characteristics similar to the securities included in the index. The index is comprised of 40 companies that provide products and services in one of the following industries that facilitate the ability of people to work from home: remote communications, cyber security, online project and document management, and cloud computing technologies (""WFH Industries""). The fund is non-diversified."
RBBN,"Ribbon Communications Inc. provides communications technology in the United States, Europe, the Middle East, Africa, the Asia Pacific, and internationally. It operates through two segments, Cloud and Edge, and IP Optical Networks. The Cloud and Edge segment provides software and hardware products; and solutions and services for enabling voice over internet protocol communications, voice over long-term evolution, and voice over 5G communications and unified communications and collaboration. It also offers session border controller and network transformation products. This segment serves private, public, or hybrid cloud infrastructures, as well as data centers, enterprise premises, and service provider networks. It also provides multiple solutions for VoIP, VoLTE, VoNR, and UC&C in network, on-premises, or via the telco cloud. The IP Optical Networks segment provides hardware and software solutions for IP networking, switching, routing, and optical transport to support and enable technologies, such as 5G, distributed cloud computing, and corresponding applications. It also offers multiple solutions, including 5G-native solutions for mobile-backhaul, metro and edge aggregation, core networking, data center interconnect, legacy NTR, and transport solutions for wholesale carriers. This segment serves utilities, government, defense, finance, transportation, and education and research industries, as well as service providers and enterprises. It also provides advanced analytics solutions and next generation products that provides cloud-native and streaming analytics platform for networks and subscribers. The company was formerly known as Sonus Networks, Inc. and changed its name to Ribbon Communications Inc. in November 2017. Ribbon Communications Inc. was founded in 1997 and is headquartered in Plano, Texas."
DMS,"Digital Media Solutions, Inc. operates as a digital performance marketing company that offers a software delivery platform in the United States. It operates through three segments: Brand Direct, Marketplace, and Other. The company operates as a performance marketing engine for companies across various industries, including consumer finance, e-commerce, education, insurance, home services, brand performance, automotive, gig, health and wellness, and career placements. It also provides managed services that help clients to access and control the advertising expenses; and marketing automation software as a service to clients. The company was founded in 2012 and is headquartered in Clearwater, Florida."
NVRO,"Nevro Corp., a medical device company, provides products for patients suffering from chronic pain in the United States and internationally. The company develops and commercializes the Senza spinal cord stimulation system, an evidence-based neuromodulation platform for the treatment of chronic pain, as well as Senza II and Senza Omnia systems. It also provides 10 kHz Therapy, which delivers neuromodulation solutions for treating chronic pain based on available clinical evidence. The company sells its products through its direct sales force, and a network of sales agents and independent distributors. Nevro Corp. was incorporated in 2006 and is headquartered in Redwood City, California."
CHIR,"The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index tracks the performance of companies in the MSCI China Index (the ""parent index"") that are classified in the real estate sector, as defined by the index provider. The fund is non-diversified."
KPLT,"Katapult Holdings, Inc., an e-commerce focused financial technology company, provides e-commerce point-of-sale lease-purchase options for nonprime consumers in the United States. The company's technology platform provides nonprime consumers with a lease purchase option to enable them to obtain durable goods from its network of e-commerce merchants. The company was formerly known as Cognical Holdings, Inc. and changed its name to Katapult Holdings, Inc. in February 2020. The company is headquartered in Plano, Texas."
PVL,"Permianville Royalty Trust operates as a statutory trust. It owns a net profits interest representing the right to receive 80% of the net profits from the sale of oil and natural gas production from properties located in the states of Texas, Louisiana, and New Mexico. The company was formerly known as Enduro Royalty Trust and changed its name to Permianville Royalty Trust in September 2018. Permianville Royalty Trust was incorporated in 2011 and is based in Houston, Texas."
NLR,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes equity securities and depositary receipts issued by companies involved in uranium and nuclear energy. The fund is non-diversified.
AINC,"Ashford, Inc is an asset management firm. The firm provides investment management and related services to the real estate and hospitality sectors. Ashford, Inc was formed on April 2, 2014 and is based in Dallas, Texas. Ashford Inc.(NYSEAM:AINC) operates independently of Ashford Hospitality Trust, Inc. as of November 5, 2019."
GXTG,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index seeks to provide broad exposure to thematic growth strategies using a portfolio of exchange-traded funds (each, an ""underlying ETF""). It is non-diversified."
WCC,"WESCO International, Inc. provides business-to-business distribution, logistics services, and supply chain solutions in the United States, Canada, and internationally. It operates through three segments: Electrical & Electronic Solutions (EES), Communications & Security Solutions (CSS), and Utility and Broadband Solutions (UBS). The EES segment supplies products and supply chain solutions, including electrical equipment and supplies, automation and connected devices, security, lighting, wire and cable, and safety, as well as maintenance, repair, and operating (MRO) products. This segment also offers contractor solutions, direct and indirect manufacturing supply chain optimization programs, lighting and renewables advisory services, and digital and automation solutions. The CSS segment operates in the network infrastructure and security markets. This segment sells products directly to end-users or through various channels, including data communications contractors, security, network, professional audio/visual, and systems integrators. It also provides safety and energy management solutions. The UBS segment offers products and services to investor-owned utilities; public power companies; and service and wireless providers, broadband operators, and contractors. This segment's products include wire and cable, transformers, transmission and distribution hardware, switches, protective devices, connectors, conduits, pole line hardware, racks, cabinets, safety and MRO products, and point-to-point wireless devices. This segment also offers various service solutions, including fiber project management, high and medium voltage project design and support, pre-wired meters and capacitor banks, meter testing and metering infrastructure installation, personal protective equipment dielectric testing, and tool repair, as well as emergency response, storage yard, materials, and logistics management. The company was founded in 1922 and is headquartered in Pittsburgh, Pennsylvania."
HYW,"Hywin Holdings Ltd., together with its subsidiaries, engages in the provision of wealth management, asset management, health management, insurance brokerage, and other financial services in China. The company distributes private market investment products comprising asset-backed products, such as real estate securitization products, as well as equity investments in real estate projects or private project companies; venture capital, private equity, and hedge funds; and supply chain financing products, cash management products, and funds managed by its subsidiaries. It also offers public market investment products, including money market funds, such as government bonds, central bank bills, term and certificates of deposits, and corporate commercial papers; government, corporate, and convertible bonds, as well as other traded debt instruments; and equities and multi-strategy funds. In addition, the company provides individual whole life insurance, individual term life insurance, universal life insurance, individual health insurance, and annuity insurance products, as well as critical illness insurance comprising personal accident insurance products; discretionary and advisory mandates to ultra-high-net-worth clients; and overseas property investment services for residential properties, as well as client referrals to overseas and charge property developers. Further, it manages and distributes a range of private funds to professional investors; and offers information technology services, including transaction process management, data analysis, and system maintenance services to asset management service and financial product providers. The company was founded in 2006 and is headquartered in Shanghai, China. Hywin Holdings Ltd. is a subsidiary of Grand Lead Group Limited."
THS,"TreeHouse Foods, Inc. manufactures and distributes private label foods and beverages in the United States and internationally. It operates through two segments, Meal Preparation, and Snacking & Beverages. The Meal Preparation segment provides aseptic cheese and pudding products; baking and mix powders; hot cereals; jams, preserves, and jellies; liquid and powdered non-dairy creamers; macaroni and cheese; mayonnaise; Mexican, barbeque, and other sauces; pastas; pickles and related products; powdered soups and gravies; refrigerated and shelf stable dressings and sauces; refrigerated dough; single serve hot beverages; skillet dinners; and table and flavored syrups. The Snacking & Beverages segment offers bars, broths, candies, cookies, crackers, in-store bakery products, pita chips, powdered drinks, pretzels, ready-to-drink coffee, retail griddle waffles, pancakes, French toasts, specialty teas, and sweeteners. The company sells its products through various distribution channels, including retailers, foodservice distributors, and co-manufacturers, as well as industrial and export, which includes food manufacturers and repackagers of foodservice products. TreeHouse Foods, Inc. was founded in 1862 and is based in Oak Brook, Illinois."
BTMD,"biote Corp. operates in medical practice-building business within the hormone optimization space. The company offers a platform for Biote-certified practitioners to optimize imbalances in their patient's hormone, vitamin, and mineral levels, as well as prescribe bioidentical hormone therapies and recommend dietary supplements. It also sells Biote-branded dietary supplements; and sterile pellet insertion kits for men and women. The company was founded in 2011 and is headquartered in Irvine, Texas."
DTC,"Solo Brands, Inc. operates a direct-to-consumer platform that offers outdoor lifestyle branded products in the United States. The company provides camp stoves under the Solo Stove Lite brand name; fire pits under the Solo Stove brand name; grills, cook tops, and tools; kayaks under the Oru brand name; paddle boards under the ISLE brand name; and storage solutions for fire pits, firewood, and other accessories. It also offers swim trunks, casual shorts, sport products, polos, shirts, and lounge products under the Chubbies brand name; consumables, such as color packs, starters, natural charcoal, and firewood products; and accessories comprising shelters, shields, roasting sticks, tools, paddles, and pumps under the Solo Stove, Oru, and ISLE brands. The company was founded in 2011 and is headquartered in Grapevine, Texas."
EWV,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index adjusts the market capitalization of Index constituents for free float and targets for Index inclusion 85% of the free float-adjusted market capitalization in Japan. The fund is non-diversified."
DON,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of the mid-capitalization segment of the U.S. dividend-paying market. The fund is non-diversified."
AMJ,The index tracks the performance of midstream energy Master Limited Partnerships.
NRGX,"The fund utilizes a flexible strategy by focusing on investments across the full value chain, capital structure and liquidity spectrum of the energy markets to pursue its objective of total return as well as seeking to provide high current income. The fund will invest, under normal circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in investments linked to the energy sector and in investments linked to the credit sectors."
JCTCF,"Jewett-Cameron Trading Company Ltd., through its subsidiaries, engages in the manufacturing and distribution of specialty metal products and wholesale distribution of wood products to home centers and other retailers. The company operates through three segments: Industrial Wood Products; Pet, Fencing and Other; and Seed Processing and Sales. The Industrial Wood Products segment processes and distributes industrial wood products. It offers treated plywood to the transportation industry. The Pet, Fencing and Other segment is involved in the wholesale of pet products, including various enclosures/kennels, beds, bowls, and compostable dog waste bags; fencing and containment products, such as post systems, wood and other fencing infill products, and kitted security fencing solutions; and other products comprising garden, landscaping, and miscellaneous products for the home. The Seed Processing and Sales segment processes and distributes agricultural seeds to distributors, as well as cleaning seeds. The company markets its products under the Lucky Dog, Adjust-A-Gate, Fit-Right, Perimeter Patrol, Lifetime Post, Early Start, Spring Gardner, Greenline, and Weatherguard brands. It operates in the United States, Canada, Mexico, Latin America, the Caribbean, Europe, and the Asia Pacific. The company was founded in 1953 and is headquartered in North Plains, Oregon."
AMZA,"Under normal market conditions, the fund will invest not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in equity securities of MLPs in the energy infrastructure sector. It is non-diversified."
DIN,"Dine Brands Global, Inc., together with its subsidiaries, owns, franchises, operates, and rents full-service restaurants in the United States and internationally. It operates through five segments: Applebee's Franchise Operations, International House of Pancakes (IHOP) Franchise Operations, Rental Operations, Financing Operations, and Company-Operated Restaurant Operations. The company owns and franchises two restaurant concepts, including Applebee's Neighborhood Grill + Bar in the bar and grill segment of the casual dining category; and IHOP in the family dining category of the restaurant industry. Its Applebee's restaurants offer American fare with drinks and drafts; and IHOP restaurants provide full table services, and food and beverage offerings. As of December 31, 2021, the company had 1,611 Applebee's franchised restaurants, and 1,751 IHOP franchised and area licensed restaurants. It is also involved in the lease or sublease of 598 IHOP franchised restaurants and two Applebee's franchised restaurants; and the financing of franchise fees and equipment leases. the company was formerly known as DineEquity, Inc. and changed its name to Dine Brands Global, Inc. in February 2018. Dine Brands Global, Inc. was founded in 1958 and is headquartered in Glendale, California."
RNMC,"The fund will normally invest at least 90% of its net assets in the common stocks and real estate investment trusts (""REITs"") that comprise the index. The index is designed to select dividend-paying securities issued by mid capitalization U.S. companies."
SKYY,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is designed to track the performance of companies involved in the cloud computing industry.
OLP,"One Liberty is a self-administered and self-managed real estate investment trust incorporated in Maryland in 1982. The Company acquires, owns and manages a geographically diversified portfolio consisting primarily of industrial, retail, restaurant, health and fitness and theater properties. Many of these properties are subject to long term net leases under which the tenant is typically responsible for the property's real estate taxes, insurance and ordinary maintenance and repairs."
GTH,"Genetron Holdings Limited, a precision oncology company, engages in the cancer molecular profiling, and harnessing technologies in molecular biology and data science for cancer treatment. The company offers diagnosis and monitoring services, and early screening services through laboratory developed tests services. It also provides in-vitro diagnostic products, including 8-gene lung cancer assay, an IVD assay product to detect lung cancer; Genetron 3D biochip reading instrument; Genetron S5, a semiconductor-based NGS system, which detects the nucleotide through detecting the change in pH; Genetron Chef System; Genetron S2000 platform, a production-scale sequencer; and Onco PanScan, a genomic profiling service for various solid tumors. In addition, it offers IDH1 and TERT gene assays for glioma; thyroid basic assay for thyroid tumor; platelet-derived growth factor receptor alpha assay for GIST cancer; and HCCscan, a qPCR-based assay to detect hepatocellular carcinoma. Further, it provides development services in the areas of genomics research and clinical development in collaboration with biopharmaceutical companies worldwide. The company has a strategic partnership with JD Health to create solutions for full-cycle cancer management. Genetron Holdings Limited was founded in 2015 and is headquartered in Beijing, the People's Republic of China."
VFVA,"The fund invests primarily in U.S. common stocks with the potential to generate higher returns relative to the broad U.S. equity market by investing in stocks with relatively lower share prices relative to fundamental values as determined by the advisor. Under normal circumstances, at least 80% of the fund's assets will be invested in securities issued by U.S. companies."
APTV,"Aptiv PLC designs, manufacturers, and sells vehicle components worldwide. The company provides electrical, electronic, and safety technology solutions to the automotive and commercial vehicle markets. It operates in two segment, Signal and Power Solutions, and Advanced Safety and User Experience. The Signal and Power Solutions segment designs, manufactures, and assembles vehicle's electrical architecture, including engineered component products, connectors, wiring assemblies and harnesses, cable management products, electrical centers, and hybrid high voltage and safety distribution systems. The Advanced Safety and User Experience segment provides critical components, systems integration, and software development for vehicle safety, security, comfort, and convenience, such as sensing and perception systems, electronic control units, multi-domain controllers, vehicle connectivity systems, application software, and autonomous driving technologies. The company was formerly known as Delphi Automotive PLC and changed its name to Aptiv PLC in December 2017. Aptiv PLC was founded in 2011 and is based in Dublin, Ireland."
CTG,"Computer Task Group, Incorporated, together with its subsidiaries, offers information and technology services in North America, South America, Western Europe, and India. It operates through three segments: North America IT Solutions and Services, Europe IT Solutions and Services, and Non-Strategic Technology Services. The company offers business process transformation solutions, which include advisory, data strategy, digital workplace, enterprise platforms, information disclosure, and regulatory and compliance services; technology transformation solutions, such as application development, automation, cloud, data management, enterprise platform implementation, and testing services; and operations transformation solutions consisting of application support, IT operations support, cloud, and infrastructure. It also provides staffing services, including managed staffing, staff augmentation, and volume staffing services. The company serves financial services, healthcare, manufacturing, and energy industries, as well as technology service providers. Computer Task Group, Incorporated was incorporated in 1966 and is headquartered in Amherst, New York."
AGYS,"Agilysys, Inc., together with its subsidiaries, operates as a developer and marketer of hardware and software products and services to the hospitality industry in North America, Europe, the Asia-Pacific, and India. It offers point of sale, property management systems, inventory and procurement, payments, reservations management, and seat solutions to enhance guest experience. The company also provides technical software support, maintenance, and subscription services; and professional services. It offers its solutions for gaming, hotels, resorts and cruise, corporate foodservice management, restaurants, universities, stadium, and healthcare. The company was formerly known as Pioneer-Standard Electronics, Inc. and changed its name to Agilysys, Inc. in 2003. Agilysys, Inc. was founded in 1932 and is headquartered in Alpharetta, Georgia."
GLPG,"Galapagos NV, an integrated biopharmaceutical company, engages in the discovery, development, and commercialization of various medicines for high unmet medical need. Its pipeline products include filgotinib, a JAK1 inhibitor that is in various phases of clinical trials for the treatment of rheumatoid arthritis, Crohn's disease, ulcerative colitis, small bowel CD, fistulizing CD, ankylosing spondylitis, psoriatic arthritis, and uveitis. The company's pipeline products also comprise GLPG1972 that has completed Phase 2b trial for treating osteoarthritis; Toledo molecules, including GLPG3970, GLPG4399, and GLPG4876 for inflammation; and GLPG4716 and Ziritaxestat to treat idiopathic pulmonary fibrosis. In addition, its other pipeline products include GLPG2737, a cystic fibrosis transmembrane conductance regulator that is in Phase 2 clinical trials to treat patients with autosomal dominant polycystic kidney disease; and GLPG0555, a JAK1 inhibitor, which is in Phase 1b for treatment of patients with osteoarthritis. The company has collaboration agreements with Gilead Sciences, Inc.; AbbVie S.a r.l.; and Novartis Pharma AG. Galapagos NV was incorporated in 1999 and is headquartered in Mechelen, Belgium."
TGLS,"Tecnoglass Inc., through its subsidiaries, designs, produces, markets, and installs architectural systems for the commercial and residential construction industries in Colombia, the United States, Panama, and internationally. The company offers low emissivity, laminated/thermo-laminated, thermo-acoustic, tempered, silk-screened, curved, and digital print glass products. It also provides aluminum products, including bars, plates, profiles, rods, and tubes that are used in the manufacture of architectural glass settings, such as windows, doors, spatial separators, and related products. In addition, the company offers curtain wall/floating facades, windows and doors, interior dividers and commercial display windows, hurricane-proof windows, and stick facade systems; and other products comprising awnings, structures, automatic doors, and other components of architectural systems. It markets and sells its products primarily under the Tecnoglass, ESWindows, and Alutions brands through internal and independent sales representatives, as wells as directly to distributors. The company was founded in 1984 and is headquartered in Barranquilla, Colombia. Tecnoglass Inc. is a subsidiary of Energy Holding Corporation."
PWP,"Perella Weinberg Partners, an independent investment banking company, provides strategic and financial advice services in the United States and internationally. The company offers advice services related to mission-critical strategic and financial decisions, mergers and acquisition execution, shareholder and defense advisory, capital raising, structure and restructuring, capital markets advisory, energy underwriting, and equity research. It serves public multinational corporations, mid-sized public and private companies, individual entrepreneurs, private and institutional investors, creditor committees, and government institutions in various industries comprising consumer and retail; energy; financial institutions; healthcare; industrials; and technology, media, and telecommunications. The company was founded in 2006 and is based in New York, New York."
CORN,"The Benchmark is a weighted average of the closing settlement prices for three futures contracts for corn that are traded on the Chicago Board of Trade. Under normal market conditions, it is expected that 100% of the fund's assets will be invested in Benchmark Component Futures Contracts and in cash and cash equivalents. The fund seeks to achieve its investment objective by investing in Benchmark Component Futures Contracts."
FTI,"TechnipFMC plc engages in the oil and gas projects, technologies, and systems and services businesses in Europe, Central Asia, North and Latin America, the Asia Pacific, Africa, and the Middle East. The Subsea segment engages in the design, engineering, procurement, manufacturing, fabrication, installation, and life of field services for subsea systems, subsea field infrastructure, and subsea pipe systems used in oil and gas production and transportation. It provides subsea production and processing systems; subsea umbilicals, risers, and flowlines; vessels; and Subsea Studio for optimizing the development, execution, and operation of current and future subsea fields. This segment also offers well and asset services; research, engineering, manufacturing, and supply chain; and product management services. The Surface Technologies segment designs, manufactures, and services products and systems used in land and shallow water exploration and production of crude oil and natural gas. This segment offers drilling and completion systems; surface wellheads and production trees systems; iComplete, a digitally enabled pressure control system; fracturing tree and manifold systems; pressure pumping; well service pumps; well control, safety and integrity systems, multiphase meter modules, in-line separation and processing systems, and standard pumps; flowback and well testing services; skid systems; automation and digital systems; and flow measurement and automation solutions. It also offers planning, testing and installation, commissioning, operations, replacement and upgrade, maintenance, storage, preservation, intervention, integrity, decommissioning, and abandonment; and supplies flexible lines and flowline products and services. TechnipFMC plc has a strategic alliance with Talos Energy Inc. to develop and deliver technical and commercial solutions to Carbon Capture and Storage projects. The company was founded in 1884 and is based in Newcastle Upon Tyne, the United Kingdom."
IWD,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
VONV,"The fund advisor employs an indexing investment approach designed to track the performance of the Russell 1000 Value Index. The index is designed to measure the performance of large-capitalization value stocks in the United States. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
CBFV,"CB Financial Services, Inc. operates as the bank holding company for Community Bank that provides various banking products and services for individuals and businesses in southwestern Pennsylvania, West Virginia, and Ohio. The company's primary deposit products include demand deposits, NOW accounts, money market accounts, and savings accounts, as well as time deposit products. Its loan products comprise residential real estate loans, such as one- to four-family mortgage loans, home equity installment loans, and home equity lines of credit; commercial real estate loans that are secured primarily by improved properties, such as retail facilities, office buildings, and other non-residential buildings; construction loans to individuals to finance the construction of residential dwellings, as well as for the construction of commercial properties, including hotels, apartment buildings, housing developments, and owner-occupied properties used for businesses; commercial and industrial loans, and lines of credit; consumer loans consisting of indirect auto loans, secured and unsecured loans, and lines of credit; and other loans. In addition, the company conducts insurance agency activities by offering property and casualty, commercial liability, surety, and other insurance products. It operates through its main office and 13 branch offices in Greene, Allegheny, Washington, Fayette, and Westmoreland counties in southwestern Pennsylvania; Marshall and Ohio counties in West Virginia; and Belmont County in Ohio, as well as one loan production offices in Allegheny County. The company was founded in 1901 and is headquartered in Carmichaels, Pennsylvania."
OCTW,"Under normal market conditions, the fund invests at least 80% of its net assets in instruments with economic characteristics similar to U.S. large cap equity securities. Specifically, the Advisor intends to invest substantially all of its assets in FLEX Options that reference the Underlying ETF. The fund is non-diversified."
