Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
SWX,"Southwest Gas Holdings, Inc.",Utilities,Utilities - Regulated Gas,USA,4420000000.0,26.84,65.72,-0.018500000000000003,318803.0,Channel Down,1,-,2.45,0.10%,67.16M,-2.07%,15.73,4.18,0.00%,66.46M,1.37%,147.20M,6.71,1.57,90.00%,3.70% / 4.58,-4.91%,4.62B,0.96,-18.20%,-2.80%,2.46M,-16.19%,50.82,1.29,20.23%,1.10%,74.80,-0.48%,2.61,25.22,4.00%,4.40%,59.51,95.62,6.21%,2.48,-,1.30%,3.50%,-31.27%,0.25,3.77%,1.30,8.40%,85.20%,10.44%,1.60,2286,1.30,26.70%,8.20%,47.20,2.32%,2.12%,No,1.84,5.50%,3.20%,0.59,66.96,Yes,1.72,Nov 09 BMO,99.00%,537.73K,2.30,-1.01%,-0.68%,-14.86%,"Southwest Gas Holdings, Inc., through its subsidiaries, distributes and transports natural gas in Arizona, Nevada, and California. The company operates through Natural Gas Distribution, Utility Infrastructure Services, and Pipeline and Storage segments. It also provides trenching, installation, and replacement of underground pipes, as well as maintenance services for energy distribution systems. As of December 31, 2021, it had 2,159,000 residential, commercial, industrial, and other natural gas customers. Southwest Gas Holdings, Inc. was incorporated in 1931 and is headquartered in Las Vegas, Nevada."
MTLS,Materialise NV,Technology,Software - Application,Belgium,617160000.0,77.52,10.31,-0.0301,116092.0,Channel Down,1,-,0.13,2.37%,59.06M,-4.71%,93.73,0.11,0.00%,8.00M,20.58%,7.80M,-,0.02,28.70%,4.56% / 1.30,4.99%,246.90M,2.50,275.30%,-3.33%,0.36M,-21.00%,4.37,2.36,83.30%,1.70%,15.17,-49.26%,2.74,3.76,-,3.10%,8.34,22.61,17.16%,-,44.40,41.30%,3.50%,-54.40%,0.75,-,1.90,12.40%,56.10%,23.62%,0.44,2332,2.10,-60.70%,1.70%,55.09,4.54%,4.45%,Yes,0.35,-83.90%,3.20%,0.41,10.63,Yes,0.27,Feb 14 BMO,0.00%,281.04K,2.00,3.22%,9.05%,-13.95%,"Materialise NV provides additive manufacturing and medical software, and 3D printing services in the Americas, Europe and Africa, and the Asia-Pacific. The company operates through three segments: Materialise Software, Materialise Medical, and Materialise Manufacturing. Its Materialise Software segment offers software through programs and platforms that enable and enhance the functionality of 3D printers and of 3D printing operations. Its software interfaces between various types of 3D printers; and various software applications and capturing technologies, including computer-aided design/computer-aided manufacturing packages and 3D scanners. This segment serves 3D printing machine manufacturers; production companies and contract manufacturers in automotive, aerospace, consumer goods, and hearing aid industries; and 3D printing service bureaus through its sales force, Website, and third-party distributors. The company's Materialise Medical segment provides medical software that allows medical-image based analysis and engineering, as well as patient-specific design of surgical devices and implants. It serves medical device companies, hospitals, universities, research institutes, and industrial companies through its direct sales force, Website, and picture archiving and communication system partners. Its Materialise Manufacturing segment provides 3D printing services, design and engineering services, and rapid prototyping and additive manufacturing of production parts to industrial and commercial customers. The company has collaboration agreements with Zimmer Biomet Holdings, Inc.; Encore Medical, L.P.; DePuy Synthes Companies of Johnson & Johnson; Limacorporate Spa; Mathys AG; Corin Ltd; Medtronic Inc.; and Abbott Laboratories Inc. Materialise NV was incorporated in 1990 and is headquartered in Leuven, Belgium."
SLGG,"Super League Gaming, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,27280000.0,,0.72,-0.0248,118469.0,Channel Down,1,-,-2.05,2.70%,37.39M,-0.62%,-,-0.78,0.00%,24.08M,74.65%,-76.40M,-,-0.25,8.00%,4.68% / 5.09,5.17%,18.70M,1.46,57.60%,-7.66%,1.13M,-28.43%,0.68,1.05,-6.80%,-99.00%,2.00,-63.67%,0.03,24.80,-,-110.70%,0.32,2.57,112.73%,-,-,14.10%,-22.90%,-72.15%,1.63,-,0.70,112.40%,44.00%,126.49%,0.07,101,0.70,25.00%,-,65.52,9.16%,12.16%,Yes,0.17,-617.80%,-,0.54,0.73,Yes,0.00,Nov 15 BMO,-,221.44K,2.00,25.53%,37.90%,-14.70%,"Super League Gaming, Inc. builds and operates networks of games, monetization tools, and content channels across metaverse gaming platforms that empower developers, energize players, and entertain fans. The company's solutions provide access to an audience consisting of players in the metaverse environments, fans of various gaming influencers, and viewers of gameplay content across social media and digital video platforms. The company's platform includes access to in-game communities, a metaverse advertising platform, and a network of highly viewed channels and original shows on Instagram, TikTok, Snap, YouTube, and Twitch, as well as cloud-based livestream production tools and an esports invitational tournament series. Its properties also deliver opportunities for brands and advertisers to achieve insights and marketing outcomes with gamers of various ages. The company was formerly known as Nth Games, Inc. and changed its name to Super League Gaming, Inc. in June 2015. Super League Gaming, Inc. was incorporated in 2014 and is headquartered in Santa Monica, California."
MTEM,"Molecular Templates, Inc.",Healthcare,Biotechnology,USA,27210000.0,,0.49,-0.0928,175468.0,Channel Down,1,-,-1.44,0.20%,56.35M,-15.41%,-,-1.37,0.00%,53.60M,19.71%,-80.90M,-,-0.33,74.50%,0.61% / 1.97,-18.20%,35.10M,0.78,31.90%,-3.63%,0.33M,-41.57%,0.07,7.01,12.70%,-52.60%,10.12,-83.75%,1.43,0.34,3.20%,-225.80%,0.31,3.64,49.63%,-,-,16.50%,-79.10%,-86.50%,1.35,-,1.70,-,-,58.32%,0.04,224,1.70,75.00%,-,47.38,8.36%,7.47%,Yes,0.00,19.20%,-,1.05,0.54,Yes,8.55,-,-,166.39K,2.00,-4.11%,5.50%,-37.81%,"Molecular Templates, Inc., a clinical stage biopharmaceutical company, focuses on the discovery and development of biologic therapeutics for the treatment of cancer and other serious diseases. The company primarily develops a pipeline of therapies through its proprietary biologic engineered toxin body (ETB) drug platform. The company is developing MT-5111, an ETB candidate that is in Phase I clinical trial for the treatment of HER2-positive cancers; MT-0169, which is in Phase I clinical trial to treat relapsed/refractory myeloma patients; and MT-6402 in that is in Phase I clinical trial for PD-1/PD-L1 antibody relapsed/refractory patients. Its pipeline of ETBs in development for other targets, including CTLA-4, TIGIT, TROP2, BCMA, SLAMF-7, and CD45. The company has a collaboration agreement with Bristol Myers Squibb to discover and develop novel products containing ETBs directed to multiple targets. Molecular Templates, Inc. was founded in 2001 and is headquartered in Austin, Texas."
JAMF,Jamf Holding Corp.,Technology,Software - Application,USA,2630000000.0,,21.49,-0.0124,325840.0,Channel Down,1,-,-1.20,0.70%,121.01M,-0.78%,88.07,0.24,-17.98%,120.61M,12.87%,-143.80M,-,0.04,98.70%,2.78% / 8.27,4.27%,452.30M,5.82,-187.50%,-0.15%,3.35M,-17.19%,5.45,3.94,67.12%,-9.80%,28.22,-37.20%,1.84,11.68,60.60%,-20.40%,17.16,36.69,0.89%,-,47.79,-,-6.50%,-41.43%,-,-,1.00,-,74.40%,25.23%,1.05,2212,1.00,30.30%,-31.00%,57.45,5.29%,5.12%,Yes,0.55,-1.00%,-31.80%,0.80,21.76,Yes,0.55,Feb 28 AMC,-,405.54K,2.00,7.40%,3.81%,-9.12%,"Jamf Holding Corp. offers a cloud software platform for Apple infrastructure and security platform worldwide. Its products include Jamf Pro, an Apple ecosystem management software solution for IT environments; Jamf Now, a pay-as-you-go Apple device management software solution for small-to-medium-sized businesses; Jamf School, a software solution for educators; Jamf Data Policy, a solution to enforce acceptable usage policies to eliminate shadow IT and block risky content and manage data consumption with real-time analytics and granular reporting; and Jamf Connect that streamlines Mac authentication and identity management; and Jamf Private Access, a ZTNA solution that replaces legacy conditional access and VPN technology. The company also offers Jamf Protect, which provides protection of Mac-targeted malware and creates customized telemetry and detections that give enterprise security teams visibility into their Macs; Jamf Threat Defense, a solution to protect workers from malicious attackers; and Jamf Nation, an online community of IT and security professionals focusing on Apple in the enterprise. It sells its SaaS solutions through a subscription model, direct sales force, and online, as well as indirectly through channel partners, including Apple. The company was founded in 2002 and is headquartered in Minneapolis, Minnesota."
AXNX,"Axonics, Inc.",Healthcare,Medical Devices,USA,2950000000.0,,57.32,-0.025699999999999997,408131.0,Channel Down,1,-,-1.66,0.70%,47.21M,-6.14%,-,-0.90,-52.63%,47.10M,4.16%,-75.50M,-,-0.24,-,7.51% / 5.55,-6.75%,240.90M,12.23,-25.20%,3.16%,3.54M,-17.12%,11.64,4.92,40.90%,-13.60%,83.56,12.19%,6.81,8.42,-,-15.60%,38.41,79.92,-8.33%,-,-,-22.00%,-15.00%,-28.27%,0.41,-,6.40,-,70.60%,49.23%,2.92,517,7.40,50.10%,-32.80%,39.91,4.90%,4.93%,Yes,0.00,10.50%,-31.40%,0.64,58.83,Yes,0.00,Mar 01 AMC,-,637.37K,2.00,-6.98%,-8.67%,-9.25%,"Axonics, Inc., a medical technology company, engages in the development and commercialization of sacral neuromodulation (SNM) systems. The company's SNM systems are used to treat patients with overactive bladder, including urinary urge incontinence and urinary urgency frequency, as well as fecal incontinence and non-obstructive urinary retention. Its proprietary rechargeable SNM System (r-SNM) delivers mild electrical pulses to the targeted sacral nerve to restore normal communication to and from the brain to reduce the symptoms of bladder and bowel dysfunction. The company also offers Bulkamid, a urethral bulking agent to treat female stress urinary incontinence. It sells its products through a direct salesforce and distributors in the United States, the United Kingdom, Germany, the Netherlands, Nordic countries, and internationally. The company was formerly known as Axonics Modulation Technologies, Inc. and changed its name to Axonics, Inc. in March 2021. Axonics, Inc. was incorporated in 2012 and is based in Irvine, California."
XOS,"Xos, Inc.",Industrials,Farm & Heavy Construction Machinery,USA,155290000.0,,0.92,0.0068000000000000005,141791.0,Channel Down,1,-,-0.26,18.70%,165.90M,-5.45%,-,-0.48,4.10%,56.73M,-2.82%,-42.50M,-,-0.14,7.70%,4.07% / 4.03,-13.19%,31.10M,4.99,311.30%,-12.58%,2.31M,-52.32%,0.77,1.20,4.00%,-19.40%,3.15,-58.36%,0.63,1.46,35.40%,-28.10%,0.43,3.55,107.77%,-,-,-,-38.10%,-74.04%,-,-,5.10,-,-69.10%,114.00%,0.09,289,7.70,2983.50%,-,52.25,7.04%,11.65%,Yes,0.47,-159.80%,-,0.25,0.91,Yes,0.46,Nov 10 AMC,-,573.99K,2.30,-5.94%,20.20%,-40.87%,"Xos, Inc., a mobility solutions company, manufactures and sells battery-electric commercial vehicles. It offers a range of services to facilitate the transition of fleets to electric vehicles, including charging infrastructure, vehicle maintenance, financing, and service. The company was founded in 2020 and is headquartered in Los Angeles, California."
LBC,Luther Burbank Corporation,Financial,Banks - Regional,USA,613840000.0,7.58,11.91,-0.0058,14966.0,Channel Down,1,-,1.57,80.16%,50.74M,0.00%,13.23,0.90,0.00%,10.15M,7.49%,80.20M,1.08,0.28,15.00%,1.23% / 2.63,-2.22%,261.00M,2.35,125.70%,-1.69%,0.12M,-9.15%,13.34,0.89,-1.10%,1.30%,15.50,-8.38%,5.62,2.12,7.00%,13.90%,10.69,13.93,7.20%,0.48,7.20,11.70%,17.60%,-14.50%,0.71,4.03%,-,9.60%,-,11.41%,0.27,281,-,15.50%,72.50%,57.27,2.05%,2.44%,No,0.23,-14.00%,35.90%,0.31,11.98,Yes,0.23,Jan 24 AMC,26.20%,47.55K,2.00,2.82%,4.13%,-4.21%,"Luther Burbank Corporation operates as the bank holding company for Luther Burbank Savings that provides various banking products and services for real estate investors, professionals, entrepreneurs, depositors, and commercial businesses. The company offers interest and noninterest-bearing transaction accounts, certificates of deposit, and money market accounts. It also provides commercial real estate loans, including first mortgage loans for the purchase, refinance, or build-out of tenant improvements on investor-owned multifamily residential properties, as well as loans for the purchase, refinance, or improvement of office, retail, and light industrial properties; single family residential loans; and a portfolio of 30-year fixed rate first mortgage and a forgivable second mortgage. In addition, the company offers ATM, debit cards, online and mobile banking, and real estate investment services; and issues trust preferred securities. As of December 31, 2021, it operated ten full service branches in California located in Sonoma, Marin, Santa Clara, and Los Angeles Counties; one full service branch in Washington located in King County; six loan production offices located throughout California; and a loan production office in Clackamas County, Oregon. Luther Burbank Corporation was founded in 1983 and is headquartered in Santa Rosa, California."
QRMI,Global X NASDAQ 100 Risk Managed Income ETF,Financial,Exchange Traded Fund,USA,,,18.1,-0.0006,4485.0,Channel Down,1,-,-,-,-,0.22%,-,-,-,-,3.72%,-,-,-,-,- / -,0.06%,-,-,-,-,-,-9.09%,-,-,-,-,-,-17.75%,-,-,-,-,17.20,22.29,4.62%,1.88,-,-,-,-18.80%,-,10.41%,-,-,-,5.23%,0.10,-,-,-,-,62.47,0.27%,0.45%,Yes,-,-,-,0.80,18.11,Yes,-,-,-,5.60K,-,1.17%,1.72%,-4.54%,"The fund invests at least 80% of its total assets in the securities of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index (""underlying index""). The underlying index measures the performance of a risk managed income strategy that holds the underlying stocks of the NASDAQ 100 Index and applies an options collar strategy (i.e., a mix of short (sold) call options and long (purchased) put options) on the NASDAQ 100 Index. The fund is non-diversified."
NEGG,"Newegg Commerce, Inc.",Consumer Cyclical,Internet Retail,USA,706300000.0,,1.74,-0.0695,805446.0,Channel Down,1,-,-0.06,52.90%,374.09M,-12.12%,-,-,0.00%,19.39M,23.40%,-21.10M,-,-,0.60%,8.18% / 0.77,-6.95%,1.87B,0.38,108.80%,0.91%,1.59M,-52.33%,0.47,3.70,-,-3.90%,-,-72.73%,-,-,-,-12.00%,1.16,9.19,32.82%,-,-,15.00%,21.70%,-81.07%,0.62,-,0.70,183.10%,12.60%,50.00%,0.20,2205,1.30,-71.10%,-2.10%,47.96,10.05%,15.55%,Yes,0.04,-144.70%,-1.10%,0.39,1.87,Yes,0.01,-,-,2.07M,-,-5.67%,6.02%,-42.88%,"Newegg Commerce, Inc. operates as an electronics-focused e-retailer in North America. The company offers desktops, laptops, gaming laptops, peripherals, and accessories; CPU/processors, graphic cards, motherboards, storage devices, and computer accessories; home video, home audio, headphones, pro audio/video, cellphones, wearables, and digital cameras; Xbox, Playstation, legacy gaming, and gaming titles; and home networking, commercial networking, server and components, and smart home products. It also provides display and printing, office technology furniture, office supplies, and mailing and inventory supplies; software, digital downloads, warranty and services, 3rd party gift cards, and entertainment products; car electronics, marine and aviation, motorcycles and ATV, performance parts, tools and equipment, and wheels and tires; home improvement tools, home appliances, kitchen utensils, outdoor and garden furniture, pet supplies, and generators; and fitness, sports, and health and beauty supplies. The company operates B2C platforms, including Newegg.com, Newegg.ca, and Newegg Global, as well as mobile apps; and B2B platforms comprising NeweggBusiness.com. The company was founded in 2001 and is headquartered in City of Industry, California. Newegg Commerce, Inc. is a subsidiary of Hangzhou Liaison Interactive Information Technology Co., Ltd."
HTOOW,Fusion Fuel Green PLC,Utilities,Utilities - Renewable,Ireland,,0.45,0.85,-0.008,302.0,Channel Down,1,-,1.88,-,-,-5.22%,-,-,-,8.21M,-21.02%,-,-,-,-,- / -,-14.70%,-,-,-,-,-,-39.07%,3.21,0.27,-,-,-,-61.05%,-,-,-,-,0.69,3.39,-7.28%,-,-,-,-,-74.84%,-,-,-,-,-,23.48%,0.10,80,-,-,-,42.83,6.59%,7.72%,No,-,-,-,0.02,0.86,No,-,-,-,13.50K,-,-4.94%,-19.01%,-46.65%,"Fusion Fuel Green PLC focuses on the production of hydrogen in Portugal, Southern Europe, and Morocco. The company intends to provide hydrogen generators to clients that operate their own green hydrogen plants; green hydrogen as an output from green hydrogen plants; and operational and monitoring services of green hydrogen plants using fusion fuel hydrogen generators. It serves natural gas networks and grids, ammonia producers, oil refineries, regulators, and related government departments. The company was founded in 2018 and is based in Dublin, Ireland."
MRM,MEDIROM Healthcare Technologies Inc.,Consumer Cyclical,Personal Services,Japan,30020000.0,,6.0,-0.0581,603.0,Channel Down,1,-,-1.03,40.37%,4.88M,0.00%,-,-,0.00%,2.91M,33.04%,-,-,-,0.04%,0.57% / 6.75,1.69%,6.43B,0.00,-,-,0.02M,0.17%,-79.85,-,-,-,-,-7.98%,-,-,-,-,4.01,9.80,33.03%,-,-,-,-,-38.78%,-,-,-,-,-,49.62%,0.48,368,-,47.90%,-,51.27,7.47%,6.40%,No,-,-,-,0.24,6.37,No,-,-,-,2.48K,-,2.66%,3.54%,-5.59%,"MEDIROM Healthcare Technologies Inc. provides holistic healthcare services in Japan. It operates in three segments: Relaxation Salon, Digital Preventative Healthcare, and Luxury Beauty. The Relaxation Salon segment owns and franchises relaxation salons, which provide finger-pressure style bodywork therapy, stretch therapy, and posture and joint alignment, as well as physical therapy elements; and various individual services, including anti-fatigue therapy, athletic support therapy, slim-down therapy, and reflexology. As of December 31, 2021, this segment operated 312 relaxation salons under the Re.Ra.Ku and Ruam Ruam brand. The Digital Preventative Healthcare segment offers government-sponsored Specific Health Guidance program, utilizing Lav, its internally developed on-demand health monitoring smartphone application; MOTHER Tracker for fitness applications; and preventative healthcare services utilizing its digital application and devices. The Luxury Beauty segment manages and operates hair salon under the ZACC brand name. MEDIROM Healthcare Technologies Inc. also operates Re.Ra.Ku College that offers continuing training for franchise owners, home office staff, and salon staff covering topics, such as customer service, salon operations, and relaxation techniques located in the Odaiba area in Tokyo. The company was formerly known as MEDIROM Inc. and changed its name to MEDIROM Healthcare Technologies Inc. in March 2020. MEDIROM Healthcare Technologies Inc. was incorporated in 2000 and is headquartered in Tokyo, Japan."
HCDIP,"Harbor Custom Development, Inc.",Real Estate,Real Estate - Development,USA,8289999.999999999,13.1,6.05,0.0067,14867.0,Channel Down,1,-,0.46,-,1.20M,16.23%,-,-,-,1.20M,-15.85%,-,-,-,89.75%,0.22% / 0.10,-32.78%,76.95M,0.11,-,-,0.00M,-57.39%,1.75,3.45,-,-,2.40,-59.37%,-,-,-,-,4.86,18.19,-6.20%,2.00,-,-,-,-66.74%,-,33.12%,-,-,-,24.49%,0.48,80,-,-34.80%,-,45.48,8.35%,7.90%,No,-,-,-,0.57,6.01,Yes,-,-,-,26.13K,-,-8.42%,-9.00%,-47.12%,"Harbor Custom Development, Inc. operates as a real estate development company in Washington, California, Texas, and Florida. The company is involved in land acquisition, entitlements, development, construction of project infrastructure, single and multi-family vertical construction, marketing, sales, and management of various residential projects. It undertakes projects, such as residential lots, home communities, townhomes, and multi-story condominium or apartment properties The company was formerly known as Harbor Custom Homes, Inc. and changed its name to Harbor Custom Development, Inc. in August 2019. Harbor Custom Development, Inc. was incorporated in 2014 and is based in Gig Harbor, Washington."
GLBZ,Glen Burnie Bancorp,Financial,Banks - Regional,USA,24250000.0,16.73,8.6,0.0076,179.0,Channel Down,1,-,0.51,23.34%,2.86M,-0.69%,-,-,0.00%,2.20M,4.24%,1.50M,-,-,3.30%,0.03% / 0.36,-9.09%,12.70M,1.91,50.10%,12.04%,0.00M,-31.75%,5.01,1.72,-,0.30%,-,-30.40%,19.61,0.44,-,6.00%,7.90,13.46,3.49%,0.40,60.63,17.40%,36.00%,-36.11%,0.67,4.65%,-,0.40%,-,8.86%,0.36,85,-,-8.30%,96.50%,51.37,1.87%,2.37%,No,0.00,-57.90%,11.60%,0.10,8.53,Yes,0.00,Nov 04,77.80%,1.85K,-,3.14%,-1.49%,-21.54%,"Glen Burnie Bancorp operates as the bank holding company for The Bank of Glen Burnie that provides commercial and retail banking services to individuals, associations, partnerships, and corporations. The company accepts various deposits, including savings accounts, money market deposit accounts, demand deposit accounts, NOW checking accounts, and IRA and SEP accounts, as well as certificates of deposit. It also provides residential and commercial real estate, construction, land acquisition and development, and secured and unsecured commercial loans, as well as consumer installment lending, such as indirect automobile lending services; and residential first and second mortgage loans, home equity lines of credit, and commercial mortgage loans. In addition, the company offers ancillary products and services comprising safe deposit boxes, money orders, night depositories, automated clearinghouse transactions, and automated teller machine (ATM) services, as well as electronic banking services that include telephone banking, online banking, bill pay, card control, mobile app, merchant source capture, mobile deposit capture, Zelle, etc. Further, it provides treasury services, including wire transfer and ACH services, and debit cards. Additionally, the company engages in the business of acquiring, holding, and disposing of real property. It serves customers in northern Anne Arundel county and surrounding areas from its main office and branch in Glen Burnie, Maryland; and branch offices in Odenton, Riviera Beach, Crownsville, Severn, Linthicum, and Severna Park, Maryland. The company also has a remote ATM located in Pasadena, Maryland. Glen Burnie Bancorp was founded in 1949 and is based in Glen Burnie, Maryland."
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,USA,8160000.0,,0.83,0.0003,10759.0,Channel Down,1,-,-7.12,2.40%,7.82M,13.23%,-,-0.42,20.97%,3.71M,65.95%,-,-,-0.16,2.90%,1.94% / 1.64,-11.73%,0.05M,163.45,-8.50%,111.05%,0.07M,-23.88%,0.37,2.24,81.00%,-,3.00,-,0.27,3.02,-,-,0.38,4.05,43.06%,-,-,-,-,-79.51%,-,-,2.50,-,-,118.36%,0.13,6,2.50,67.70%,-,61.09,21.27%,20.90%,No,0.00,-,-,0.25,0.83,Yes,0.00,-,-,43.79K,2.00,27.02%,32.35%,-16.93%,"Aclarion, Inc., a healthcare technology company, develops software application for magnetic resonance spectroscopy (MRS) in the United States. It offers NOCISCAN-LS Post-Processor suite comprising NOCICALC-LS that receives and processes the acquired disc MRS data to calculate levels of degenerative pain biomarkers; and NOCIGRAM-LS, a clinical decision support software. The company was formerly known as Nocimed, Inc. and changed its name to Aclarion, Inc. in December 2021. Aclarion, Inc. was founded in 2008 and is based in San Mateo, California."
HYMCL,Hycroft Mining Holding Corporation,Basic Materials,Gold,USA,,,0.08,-0.0007000000000000001,14524.0,Channel Down,1,-,-1.54,-,-,-18.90%,-,-,-,141.61M,1.25%,-,-,-,-,- / -,-9.89%,45.78M,-,-,-,-,-70.51%,0.38,0.21,-,-,-,-18.90%,-,-,-,-,0.04,0.80,33.83%,-,-,-,-,-89.86%,-,-,-,-,-,102.75%,0.02,102,-,-72.40%,-,45.49,13.60%,10.86%,No,-,-,-,1.30,0.08,No,-,-,-,11.18K,-,-11.61%,-15.25%,-63.76%,"Hycroft Mining Holding Corporation, together with its subsidiaries, operates as a gold and silver development company in the United States. The company holds interests in the Hycroft mine that covers an area of approximately 70,671 acres located in the state of Nevada. As of December 31, 2021, its Hycroft mine had measured and indicated mineral resources of 9.6 million ounces of gold, and 446.0 million ounces of silver. Hycroft Mining Holding Corporation is headquartered in Winnemucca, Nevada."
ETX,Eaton Vance Municipal Income 2028 Term Trust,Financial,Asset Management,USA,198670000.0,,18.26,0.0011,33873.0,Channel Down,1,-,-,-,10.88M,-1.40%,-,-,-,10.88M,0.50%,-,-,-,21.06%,0.12% / 0.37,-1.72%,-,-,-,-,0.01M,-10.40%,-,-,-,-,-,-10.88%,-,-,-,-,17.39,22.05,2.41%,0.74,-,-,-,-17.19%,-,4.05%,-,-,-,5.00%,0.18,-,-,-,-,47.55,0.85%,0.72%,No,-,-,-,0.97,18.24,Yes,-,-,-,34.80K,-,-0.50%,0.04%,-6.22%,"Eaton Vance Municipal Income 2028 Term Trust is a closed ended fixed income mutual fund launched and managed by Eaton Vance Management. It invests in the fixed income markets. The fund invest in stocks of companies operating across the diversified sectors. It was previously known as Eaton Vance Municipal Income Term Trust. Eaton Vance Municipal Income 2028 Term Trust was formed on March 28, 2013 and is domiciled in the United States."
POTX,Global X Cannabis ETF,Financial,Exchange Traded Fund,USA,,,12.11,-0.0189,12887.0,Channel Down,1,-,-,-,-,-6.76%,-,-,-,-,6.43%,-,-,-,-,- / -,-19.57%,-,-,-,-,-,-34.50%,-,-,-,-,-,-60.66%,-,-,-,-,10.50,37.32,8.82%,0.40,-,-,-,-67.55%,-,3.26%,-,-,-,15.35%,0.50,-,-,-,-,45.83,3.43%,3.82%,Yes,-,-,-,0.32,12.34,Yes,-,-,-,40.19K,-,-2.16%,-4.92%,-25.83%,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to provide exposure to exchange-listed companies that are active in the cannabis industry (collectively, "" Cannabis Companies""), as defined by Solactive AG, the provider of the underlying index (""index provider""). The fund is non-diversified."
KFRC,Kforce Inc.,Industrials,Staffing & Employment Services,USA,1190000000.0,13.49,57.84,-0.0062,113347.0,Channel Down,1,-,4.29,3.70%,20.02M,1.14%,14.97,3.86,-2.69%,19.63M,4.88%,88.90M,0.90,0.92,89.50%,4.00% / 5.75,3.29%,1.70B,0.70,35.30%,-2.30%,0.78M,4.07%,10.44,5.54,-8.82%,18.80%,71.67,-15.05%,0.25,233.97,15.00%,44.10%,49.35,78.15,5.49%,1.20,19.40,23.20%,28.60%,-25.99%,0.97,2.07%,1.80,3.70%,29.50%,17.20%,1.78,2000,1.80,8.70%,6.90%,57.22,3.84%,2.92%,Yes,0.00,13.90%,5.20%,0.83,58.20,Yes,0.00,Feb 06 AMC,26.40%,136.57K,2.20,2.50%,4.35%,-4.05%,"Kforce Inc. provides professional staffing services and solutions in the United States. It operates through two segments, Technology, and Finance and Accounting (FA). The Technology segment provides talent solutions to its clients primarily in the areas of information technology, such as systems/applications architecture and development, data management and analytics, business and artificial intelligence, machine learning, project and program management, and network architecture and security. This segment serves clients in various industries comprising financial and business services, communications, insurance, retail, and technology industries. The FA businesses segment offers talent solutions to its clients in areas, including financial planning and analysis, business intelligence analysis, accounting, transactional accounting, business and cost analysis, and taxation and treasury. It also provides consultants in lower skilled areas comprising loan servicing and support, customer and call center support, data entry, and other administrative roles. This segment serves clients in various industries, including financial and business services, healthcare, and manufacturing sectors. Kforce Inc. was founded in 1962 and is headquartered in Tampa, Florida."
ROSEW,Rose Hill Acquisition Corporation,Financial,Shell Companies,USA,,,0.15,0.1457,2512.0,Channel Down,1,-,-,-,-,24.33%,-,-,-,-,64.66%,-,-,-,-,- / -,216.74%,-,-,-,-,-,-48.90%,-0.00,-,-,-,-,-,-,-,-,-,0.03,0.40,53.30%,-,-,-,-,-61.68%,-,-,-,-,-,379.06%,0.05,-,-,-,-,57.11,46.90%,32.66%,No,-,-,-,0.15,0.13,No,-,-,-,16.22K,-,38.39%,49.60%,-23.98%,"Rose Hill Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar combination with one or more businesses or assets. It intends to focus on companies that operate in Latin American markets. The company was incorporated in 2021 and is based in Atlanta, Georgia."
