,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200
1099,GHSI,"Guardion Health Sciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,9160000.0,,7.38,-0.009399999999999999,23851.0,Horizontal S/R,1,-,-35.72,23.20%,1.23M,3.94%,-,-6.50,69.22%,0.95M,6.49%,-20.50M,-,-1.50,7.70%,12.30% / 4.66,-12.40%,11.00M,0.83,-73.70%,-,0.12M,2.50%,21.51,0.35,13.30%,-72.60%,35.00,-72.65%,10.49,0.71,-,-77.00%,5.80,31.50,1.72%,-,-,10.30%,-111.00%,-76.57%,0.88,-,9.10,119.80%,42.40%,27.24%,0.53,13,10.30,-12.90%,-,51.55,4.48%,8.27%,No,0.00,77.70%,-,0.96,7.45,Yes,0.00,-,-,24.96K,2.00,2.10%,-3.19%,-5.73%
1100,DDOG,"Datadog, Inc.",Technology,Software - Application,USA,27920000000.0,,82.66,0.0291,5716919.0,Horizontal S/R,1,-,-0.05,0.70%,315.99M,-0.05%,69.24,1.16,39.75%,263.53M,25.36%,-14.00M,-,0.19,80.70%,5.38% / 3.07,18.97%,1.53B,18.22,17.90%,0.77%,14.16M,-24.69%,4.08,19.69,27.19%,-0.50%,106.41,-45.84%,5.08,15.81,43.74%,-1.20%,61.34,184.70,12.46%,-,71.18,117.70%,-1.20%,-55.25%,1.01,-,3.20,-,79.30%,34.76%,4.70,3200,3.20,61.40%,-1.00%,58.52,6.15%,5.79%,Yes,0.57,-365.10%,-0.90%,1.24,80.32,Yes,0.57,Feb 16 BMO,-,4.61M,1.90,11.35%,12.32%,-8.48%
1101,SCJ,iShares MSCI Japan Small-Cap ETF,Financial,Exchange Traded Fund,USA,,,66.28,-0.0098,820.0,Horizontal S/R,1,-,-,-,-,-2.71%,-,-,-,-,3.39%,-,-,-,-,- / -,12.71%,-,-,-,-,-,4.73%,-,-,-,-,-,-8.08%,-,-,-,-,55.92,73.89,2.08%,1.58,-,-,-,-10.29%,-,2.36%,-,-,-,18.53%,0.69,-,-,-,-,51.12,0.93%,0.64%,Yes,-,-,-,0.10,66.94,Yes,-,-,-,7.91K,-,-0.42%,1.86%,5.91%
1102,CUK,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,15450000000.0,,10.73,-0.0219,1601637.0,"['Horizontal S/R', 'TL Resistance']",2,-,-5.28,0.10%,1.18B,5.09%,7.51,1.46,0.00%,144.02M,27.28%,-6093.00M,-,-,20.80%,3.42% / 2.46,37.04%,12.17B,1.27,39.00%,2.18%,4.93M,25.20%,5.99,1.83,2185.70%,-11.60%,-,-45.89%,2.86,3.84,13.40%,-71.70%,5.43,22.12,49.24%,-,-,-28.00%,-10.60%,-51.49%,2.27,-,0.70,-7.00%,7.00%,97.61%,0.47,85000,0.70,198.30%,-36.00%,67.03,5.63%,4.48%,Yes,4.89,41.50%,-50.10%,0.80,10.97,Yes,4.52,-,-,2.00M,-,9.98%,24.22%,15.05%
1103,BSRR,Sierra Bancorp,Financial,Banks - Regional,USA,321810000.0,9.53,20.93,-0.0192,20327.0,Horizontal S/R,1,-,2.24,9.50%,14.96M,-0.43%,7.65,2.79,-0.26%,13.62M,-0.85%,33.70M,1.19,0.67,53.50%,0.53% / 2.34,-3.86%,121.80M,2.64,20.80%,-3.18%,0.07M,-4.43%,19.73,1.08,0.43%,1.10%,23.70,-21.58%,38.87,0.55,8.00%,11.50%,19.62,27.24,-1.46%,0.92,10.28,16.80%,22.00%,-23.16%,0.94,4.31%,-,10.50%,-,6.68%,0.44,435,-,15.60%,85.00%,42.01,1.80%,2.03%,Yes,0.29,-4.30%,30.20%,0.66,21.34,Yes,0.29,Jan 30 BMO,36.90%,30.64K,3.00,-2.01%,-2.68%,-2.66%
1104,DISH,DISH Network Corporation,Communication Services,Entertainment,USA,7990000000.0,4.83,13.93,-0.0433,3656790.0,"['Horizontal S/R', 'TL Resistance', 'Channel Down']",3,S&P 500,3.01,0.40%,530.44M,-6.70%,10.27,1.42,57.95%,251.08M,-11.95%,1.92B,-,0.47,82.90%,12.28% / 7.03,-5.04%,17.08B,0.47,25.60%,-0.76%,30.84M,-25.55%,32.03,0.45,-46.61%,3.90%,32.35,-54.13%,1.68,8.68,-,11.80%,12.55,33.74,-0.78%,-,13.14,3.80%,6.60%,-58.71%,1.82,-,0.40,3.30%,32.70%,11.00%,0.66,14500,0.50,-8.00%,14.00%,44.15,4.26%,4.31%,Yes,1.14,-26.10%,11.20%,0.83,14.56,Yes,1.05,Nov 02 BMO,0.00%,4.39M,2.30,-4.09%,-5.33%,-19.95%
1105,ZENV,Zenvia Inc.,Technology,Software - Infrastructure,Brazil,54710000.0,,1.25,-0.0458,163111.0,"['Horizontal S/R', 'TL Resistance', 'Channel Down']",3,-,-0.21,41.09%,41.65M,7.76%,-,-0.96,0.00%,10.65M,19.05%,-7.60M,-,-0.75,30.60%,0.38% / 0.48,-28.98%,152.90M,0.36,-98.10%,-5.27%,0.04M,-39.61%,5.34,0.25,57.10%,-2.10%,3.97,-77.84%,0.57,2.28,-,-3.30%,0.99,7.78,8.70%,-,2.99,-,-1.80%,-83.93%,-,-,0.70,-,33.10%,26.26%,0.14,1085,0.70,10.20%,-5.70%,52.75,11.97%,11.93%,No,0.16,56.00%,-5.00%,1.91,1.31,Yes,0.08,Nov 16 AMC,-,85.25K,2.70,8.04%,-2.31%,-45.77%
1106,FSLY,"Fastly, Inc.",Technology,Software - Application,USA,1430000000.0,,10.75,-0.030699999999999998,2020815.0,Horizontal S/R,1,-,-1.68,7.70%,122.34M,0.37%,-,-0.46,-6.31%,111.62M,21.88%,-201.60M,-,-0.13,63.00%,10.59% / 3.76,22.86%,411.10M,3.49,-107.10%,-4.78%,11.82M,-5.45%,7.90,1.40,30.80%,-9.90%,10.45,-60.05%,4.12,2.69,30.00%,-20.40%,7.15,29.99,31.26%,-,-,-,-11.00%,-64.15%,1.35,-,4.40,-,47.90%,50.35%,0.68,976,4.40,25.10%,-48.70%,56.25,7.63%,6.20%,Yes,0.78,-7.40%,-49.00%,0.64,11.09,Yes,0.75,Feb 15 AMC,-,3.14M,3.20,4.39%,14.01%,2.51%
1107,AP,Ampco-Pittsburgh Corporation,Industrials,Metal Fabrication,USA,64680000.00000001,,3.25,-0.012199999999999999,14547.0,Horizontal S/R,1,-,-0.50,17.70%,19.40M,-1.22%,-,-,18.84%,14.15M,14.04%,-9.40M,-,-,47.10%,4.25% / 9.04,2.20%,381.20M,0.17,-223.00%,1.46%,0.60M,-30.26%,3.58,0.92,-,-1.90%,-,-46.28%,0.62,5.30,-,-12.20%,2.26,6.67,29.48%,-,-,36.90%,-11.10%,-51.27%,0.93,-,0.90,0.80%,14.70%,43.81%,0.16,1485,1.70,22.70%,-3.10%,56.44,4.95%,5.04%,Yes,1.42,152.10%,-2.50%,0.22,3.29,Yes,1.19,Nov 15 BMO,-,66.48K,-,0.68%,9.43%,-13.50%
1108,GDRX,"GoodRx Holdings, Inc.",Healthcare,Health Information Services,USA,2370000000.0,,5.48,-0.0301,1634372.0,Horizontal S/R,1,-,-0.17,1.80%,412.96M,-7.28%,21.40,0.26,0.00%,75.59M,10.48%,-70.80M,-,0.05,69.50%,13.19% / 5.20,6.00%,795.70M,2.98,94.20%,-5.02%,9.97M,-29.83%,1.91,2.96,-5.71%,-4.50%,6.96,-80.50%,1.73,3.26,2.14%,-8.80%,3.82,30.89,17.60%,-,14.83,-36.00%,-0.10%,-82.26%,-,-,10.30,49.60%,92.30%,43.45%,0.33,756,10.30,-4.00%,1.50%,52.68,6.51%,6.03%,Yes,0.84,-130.00%,-8.90%,0.85,5.65,Yes,0.83,Feb 28 AMC,-,1.92M,2.60,1.93%,7.75%,-14.17%
1109,APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA,4099999999.9999995,26.12,17.51,-0.0141,1443178.0,Horizontal S/R,1,-,0.68,2.10%,228.99M,-2.01%,20.18,0.88,0.24%,213.11M,12.10%,155.70M,-,0.12,82.10%,1.81% / 2.77,8.65%,1.19B,3.45,110.70%,-3.61%,3.86M,7.12%,14.21,1.25,16.56%,3.30%,19.50,4.89%,0.11,160.30,-,4.90%,13.72,18.59,10.96%,0.96,19.43,-35.70%,1.80%,-5.83%,1.18,5.41%,-,-2.10%,59.50%,27.63%,0.38,63,-,23.10%,18.20%,57.51,2.25%,2.06%,Yes,0.44,85.80%,13.10%,1.04,17.76,Yes,0.44,Feb 21 AMC,55.90%,1.39M,1.80,1.90%,5.55%,8.70%
1110,FSR,Fisker Inc.,Consumer Cyclical,Auto Manufacturers,USA,2720000000.0,,7.9,-0.030699999999999998,3651410.0,"['Horizontal S/R', 'TL Resistance', 'Wedge Down', 'Wedge']",4,-,-1.70,1.40%,303.23M,1.67%,-,-1.26,0.76%,175.79M,7.48%,-515.80M,-,-0.41,47.20%,33.21% / 10.36,9.72%,0.08M,35374.17,-238.80%,1.47%,58.38M,-18.64%,1.95,4.18,25.90%,-35.10%,12.67,-29.72%,2.48,3.29,-,-76.80%,6.41,14.74,8.67%,-,-,-,-22.60%,-46.40%,1.09,-,7.00,-,-,23.24%,0.58,396,7.00,-6.70%,-,54.31,7.51%,7.96%,Yes,1.12,-32.80%,-,0.65,8.15,Yes,1.12,Nov 02 AMC,-,5.64M,2.80,5.64%,8.05%,-6.92%
1111,CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,USA,17050000000.0,46.39,150.93,-0.005,1151498.0,"['Horizontal S/R', 'TL Resistance']",2,S&P 500,3.27,0.10%,123.55M,4.51%,28.34,5.35,0.00%,122.88M,5.80%,405.00M,3.47,1.20,82.20%,5.13% / 5.29,4.86%,7.04B,2.42,-33.10%,-1.54%,6.31M,5.24%,2.60,58.34,25.90%,7.10%,138.68,3.23%,1.49,101.50,13.38%,108.50%,120.50,160.59,7.55%,4.72,118.41,-6.90%,14.30%,-6.02%,0.29,3.11%,0.50,3.50%,35.50%,25.25%,3.84,9000,0.90,1.40%,8.20%,58.97,3.25%,2.27%,Yes,8.36,43.40%,6.20%,0.97,151.69,Yes,7.71,Feb 02 AMC,132.70%,1.19M,3.40,4.65%,3.86%,5.55%
1112,DFJ,WisdomTree Japan SmallCap Dividend Fund,Financial,Exchange Traded Fund,USA,,,64.83,-0.0096,4840.0,Horizontal S/R,1,-,-,-,-,-2.79%,-,-,-,-,3.91%,-,-,-,-,- / -,13.08%,-,-,-,-,-,6.05%,-,-,-,-,-,-8.11%,-,-,-,-,55.02,71.94,2.65%,1.66,-,-,-,-9.88%,-,2.53%,-,-,-,17.83%,0.71,-,-,-,-,51.58,0.83%,0.70%,Yes,-,-,-,0.27,65.46,Yes,-,-,-,17.90K,-,-0.38%,2.25%,6.62%
1113,EVBN,"Evans Bancorp, Inc.",Financial,Banks - Regional,USA,219950000.0,9.97,39.65,-0.0085,10692.0,Horizontal S/R,1,-,4.01,1.30%,5.51M,-0.35%,10.11,3.96,-2.68%,5.25M,1.85%,22.20M,-,0.99,61.70%,0.13% / 0.41,8.51%,77.80M,2.83,104.70%,-1.54%,0.01M,8.81%,27.20,1.47,-1.17%,1.10%,41.67,-7.68%,5.07,7.88,-,14.00%,32.53,42.82,6.04%,1.28,12.71,18.20%,30.80%,-7.40%,0.92,3.20%,-,14.20%,-,21.89%,0.84,378,-,6.20%,93.70%,58.27,3.67%,2.11%,No,0.21,-16.40%,30.00%,0.63,39.99,Yes,0.21,Feb 02 AMC,28.60%,16.88K,2.70,0.37%,3.00%,6.75%
1114,KKR,KKR & Co. Inc.,Financial,Asset Management,USA,51520000000.0,,58.27,-0.011399999999999999,4673617.0,"['Horizontal S/R', 'TL Resistance']",2,-,-0.66,3.00%,859.83M,2.25%,14.32,4.12,-59.57%,741.43M,17.39%,-485.80M,-,0.86,55.50%,1.63% / 3.86,10.91%,7.78B,6.62,116.10%,0.61%,12.06M,12.60%,19.00,3.10,6.96%,-0.20%,64.64,-17.62%,12.65,4.66,2.32%,-3.00%,41.77,69.30,25.53%,0.62,-,64.70%,6.30%,-15.92%,1.56,1.05%,-,50.40%,43.90%,39.50%,1.91,3238,-,-57.10%,-2.60%,64.63,3.85%,3.19%,Yes,2.47,-106.00%,-6.20%,1.49,58.94,Yes,2.46,Feb 07 BMO,-,3.13M,1.90,6.99%,14.68%,15.46%
1115,BFOR,Barron's 400 ETF,Financial,Exchange Traded Fund,USA,,,58.26,-0.014199999999999999,2324.0,Horizontal S/R,1,-,-,-,-,-0.54%,-,-,-,-,6.60%,-,-,-,-,- / -,5.96%,-,-,-,-,-,5.11%,-,-,-,-,-,-1.39%,-,-,-,-,48.34,61.32,9.31%,0.89,-,-,-,-4.99%,-,1.51%,-,-,-,20.52%,0.76,-,-,-,-,57.97,0.52%,0.71%,Yes,-,-,-,0.60,59.10,Yes,-,-,-,3.86K,-,2.01%,4.35%,7.06%
1116,AFCG,"AFC Gamma, Inc.",Real Estate,REIT - Specialty,USA,323700000.0,7.67,15.72,-0.0132,59837.0,"['Horizontal S/R', 'TL Support']",2,-,2.08,16.50%,20.02M,0.19%,6.45,2.47,0.00%,16.28M,0.13%,40.00M,-,0.58,37.90%,2.32% / 2.80,-7.53%,68.40M,4.73,585.50%,-7.08%,0.38M,-11.88%,17.35,0.92,-0.36%,8.70%,22.74,-19.05%,1.79,8.92,-,12.40%,14.90,20.74,-0.06%,2.24,-,-,6.20%,-24.20%,-,14.06%,-,-,78.50%,5.50%,0.35,-,-,64.50%,67.80%,44.66,1.88%,2.23%,Yes,0.28,20.80%,58.50%,0.44,15.93,Yes,0.28,Nov 08 BMO,103.10%,134.96K,2.00,-1.33%,-3.44%,-5.19%
1117,EHAB,"Enhabit, Inc.",Healthcare,Medical Care Facilities,USA,778020000.0,8.39,14.64,-0.0095,679391.0,"['Horizontal S/R', 'TL Support', 'Channel']",3,-,1.76,1.00%,49.60M,-5.37%,12.96,1.14,20.87%,48.98M,16.19%,87.70M,-,0.23,97.40%,5.49% / 4.95,12.18%,1.08B,0.72,49.70%,-,2.69M,11.67%,16.84,0.88,-19.89%,-,15.86,-,0.84,17.64,-14.16%,-,11.65,25.25,11.25%,-,8.33,-,7.30%,-42.02%,-,-,1.50,-,52.00%,25.67%,0.65,10000,1.50,-3.00%,10.70%,51.76,4.82%,4.61%,Yes,0.68,-60.30%,8.10%,1.25,14.78,Yes,0.65,Feb 14 AMC,0.00%,543.12K,2.70,0.10%,5.11%,-2.42%
1118,CCBG,"Capital City Bank Group, Inc.",Financial,Banks - Regional,USA,559890000.0,14.3,33.51,-0.0089,15439.0,"['Horizontal S/R', 'TL Support', 'Head & Shoulders']",3,-,2.36,1.40%,16.96M,3.08%,9.36,3.61,-0.86%,12.88M,6.18%,40.10M,2.38,0.77,45.80%,0.97% / 4.01,-5.37%,131.30M,4.26,5.30%,1.70%,0.13M,2.13%,22.58,1.50,4.18%,0.80%,38.00,20.80%,34.44,0.98,6.00%,8.70%,24.43,36.23,3.11%,0.68,5.85,23.50%,20.80%,-7.51%,0.66,2.01%,-,5.60%,-,37.17%,0.60,718,-,24.20%,80.20%,60.35,1.92%,1.88%,No,0.14,11.60%,25.60%,0.49,33.81,Yes,0.14,Jan 24 BMO,32.20%,31.26K,2.40,3.58%,2.18%,7.02%
1119,FBK,FB Financial Corporation,Financial,Banks - Regional,USA,1810000000.0,14.83,38.66,-0.010700000000000001,100581.0,Horizontal S/R,1,-,2.64,23.10%,46.91M,2.68%,12.48,3.13,0.40%,35.38M,5.83%,124.60M,-,0.76,65.30%,2.03% / 5.40,-8.24%,481.40M,3.77,137.60%,-10.11%,0.72M,-9.95%,27.31,1.43,1.29%,1.20%,40.36,-13.99%,14.58,2.68,-,11.00%,34.02,47.40,6.97%,0.60,2.90,13.60%,21.50%,-18.44%,1.05,1.54%,-,26.20%,-,13.62%,0.98,1962,-,32.90%,77.60%,57.16,2.92%,2.52%,No,0.56,-28.20%,30.90%,0.76,39.08,Yes,0.56,Jan 17 BMO,15.30%,132.76K,3.00,3.76%,1.77%,-3.06%
1120,FGI,FGI Industries Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,22850000.0,5.99,2.37,0.009399999999999999,4524.0,"['Horizontal S/R', 'TL Support', 'Triangle Descending']",3,-,0.39,73.68%,9.50M,4.41%,5.80,0.41,1.19%,2.50M,5.34%,4.00M,-,0.12,7.20%,1.38% / 3.07,-22.55%,182.10M,0.13,67.10%,-2.37%,0.03M,-8.14%,2.33,1.01,3.85%,5.80%,5.00,-38.76%,0.62,3.81,-,22.40%,1.95,4.48,10.24%,-,-,-,22.90%,-47.10%,-,-,1.00,-,17.30%,21.65%,0.10,136,1.50,-24.40%,2.60%,57.88,3.11%,4.45%,No,0.59,-8.90%,2.20%,0.40,2.35,Yes,0.00,Nov 09 AMC,0.00%,11.21K,2.00,3.58%,4.42%,-0.56%
1121,FUNL,CornerCap Fundametrics Large-Cap ETF FUNL,Financial,Exchange Traded Fund,USA,,,34.7,-0.006,8746.0,"['Horizontal S/R', 'TL Resistance']",2,-,-,-,-,-0.06%,-,-,-,-,4.04%,-,-,-,-,- / -,6.65%,-,-,-,-,-,4.81%,-,-,-,-,-,-0.93%,-,-,-,-,29.32,35.97,6.32%,1.14,-,-,-,-3.53%,-,3.27%,-,-,-,18.34%,0.34,-,-,-,-,59.61,0.90%,0.61%,No,-,-,-,0.98,34.91,Yes,-,-,-,8.96K,-,1.65%,3.17%,6.09%
1122,UCYB,ProShares Ultra Nasdaq Cybersecurity,Financial,Exchange Traded Fund,USA,,,26.63,0.0021,2038.0,Horizontal S/R,1,-,-,-,-,1.32%,-,-,-,-,18.80%,-,-,-,-,- / -,16.32%,-,-,-,-,-,-18.12%,-,-,-,-,-,-35.21%,-,-,-,-,21.33,53.32,14.88%,-,-,-,-,-50.06%,-,-,-,-,-,24.85%,0.77,-,-,-,-,60.73,3.61%,2.16%,No,-,-,-,0.92,26.57,Yes,-,-,-,2.22K,-,9.53%,9.63%,-5.37%
1123,EBR,Centrais Eletricas Brasileiras S.A.,Utilities,Utilities - Regulated Electric,Brazil,16300000000.0,23.73,7.19,0.0098,3117556.0,Horizontal S/R,1,-,0.30,-,2.02B,-8.76%,7.27,0.98,-,2.02B,-8.06%,-,7.66,-,2.31%,0.04% / 0.51,-24.32%,38.56B,0.42,32.30%,-,0.90M,-24.16%,48.45,0.15,14.00%,-,11.70,13.05%,-,-,3.10%,-,6.13,10.39,-9.33%,0.15,-,-,-,-30.77%,-,2.10%,-,-,-,17.29%,0.29,12126,-,-12.80%,-,34.84,3.96%,3.07%,No,-,-,-,1.77,7.12,Yes,-,Nov 09 AMC,-,1.77M,1.00,-9.66%,-10.55%,-15.63%
1124,EEMO,Invesco S&P Emerging Markets Momentum ETF,Financial,Exchange Traded Fund,USA,,,13.55,-0.0016,855.0,"['Horizontal S/R', 'Multiple Bottom']",2,-,-,-,-,-2.73%,-,-,-,-,-2.87%,-,-,-,-,- / -,-4.09%,-,-,-,-,-,-2.53%,-,-,-,-,-,-22.60%,-,-,-,-,13.50,17.65,-1.85%,0.53,-,-,-,-23.22%,-,3.88%,-,-,-,0.36%,0.11,-,-,-,-,32.87,0.45%,0.41%,No,-,-,-,0.65,13.57,Yes,-,-,-,1.32K,-,-3.68%,-3.50%,-8.65%
1125,SPT,"Sprout Social, Inc.",Technology,Software - Application,USA,3880000000.0,,62.08,-0.0308,423802.0,Horizontal S/R,1,-,-0.89,1.80%,54.72M,-3.53%,-,-0.02,-24.68%,46.41M,17.51%,-48.20M,-,-0.02,-,10.93% / 8.32,20.57%,237.40M,16.33,13.40%,0.40%,5.07M,-1.83%,2.55,25.12,80.00%,-17.70%,72.36,-10.91%,2.84,22.53,-,-33.90%,38.39,85.99,9.95%,-,456.19,-,-19.50%,-27.81%,-,-,1.90,-,75.70%,61.71%,4.24,887,1.90,33.00%,-20.30%,50.52,8.02%,6.54%,Yes,0.00,-96.30%,-20.30%,0.70,64.05,Yes,0.00,Feb 21 AMC,-,609.37K,1.80,-0.27%,4.38%,6.81%
1126,HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,USA,9020000000.0,15.69,225.7,0.0017000000000000001,377547.0,Horizontal S/R,1,S&P 500,14.36,0.10%,40.10M,3.36%,14.89,15.13,-7.00%,38.99M,1.87%,576.00M,1.44,3.29,89.20%,2.70% / 2.64,-7.63%,10.54B,0.86,-21.30%,-1.64%,1.05M,0.09%,76.01,2.96,3.16%,5.40%,260.40,22.65%,2.92,77.11,10.88%,19.80%,177.20,260.02,-2.16%,4.96,-,2.10%,7.10%,-13.20%,0.64,2.20%,0.90,6.10%,14.00%,27.37%,4.93,43000,1.00,12.30%,5.50%,55.65,2.22%,2.29%,Yes,0.99,-5.70%,5.50%,0.95,225.31,Yes,0.85,Feb 09 BMO,32.90%,399.41K,2.70,2.42%,-0.48%,0.61%
1127,BUG,Global X Cybersecurity ETF,Financial,Exchange Traded Fund,USA,,,23.41,0.005600000000000001,297643.0,Horizontal S/R,1,-,-,-,-,0.69%,-,-,-,-,14.42%,-,-,-,-,- / -,10.44%,-,-,-,-,-,-12.02%,-,-,-,-,-,-17.20%,-,-,-,-,19.58,31.82,12.82%,0.09,-,-,-,-26.42%,-,0.40%,-,-,-,19.56%,0.66,-,-,-,-,62.67,3.34%,2.70%,Yes,-,-,-,0.61,23.28,Yes,-,-,-,487.97K,-,7.51%,8.11%,-3.98%
1128,ATXI,"Avenue Therapeutics, Inc.",Healthcare,Biotechnology,USA,6640000.0,,1.29,-0.015300000000000001,171504.0,Horizontal S/R,1,-,-3.66,18.45%,5.08M,-3.73%,-,-,-29.37%,4.20M,13.16%,-5.00M,-,-,1.60%,2.08% / 0.09,-22.75%,-,-,29.70%,61.85%,0.09M,-70.13%,-0.03,-,-,-268.90%,-,-88.48%,0.04,33.21,-,-390.00%,1.06,18.75,11.21%,-,-,10.40%,-,-93.12%,-0.47,-,0.90,-,-,21.70%,0.16,4,0.90,-,-,44.63,5.15%,14.84%,No,-,42.50%,-,0.19,1.31,Yes,-,-,-,928.74K,3.00,-9.03%,-4.73%,-62.04%
1129,VAC,Marriott Vacations Worldwide Corporation,Consumer Cyclical,Resorts & Casinos,USA,6250000000.0,20.32,160.16,-0.0115,281674.0,"['Horizontal S/R', 'Triangle Ascending']",2,-,7.97,1.00%,39.50M,-0.82%,13.91,11.65,-2.02%,35.50M,13.33%,364.00M,0.54,2.76,85.30%,8.51% / 7.56,16.95%,4.57B,1.37,117.00%,-5.29%,3.02M,11.57%,66.48,2.44,14.14%,3.90%,182.80,-2.98%,7.62,21.25,37.76%,13.00%,110.08,173.44,19.00%,2.88,24.22,-23.40%,3.60%,-7.66%,2.08,1.78%,-,14.20%,53.10%,45.49%,3.54,20300,-,19.00%,13.60%,63.91,2.45%,2.24%,Yes,1.74,997.50%,8.00%,0.70,162.03,Yes,1.74,Feb 22 AMC,27.10%,399.76K,1.60,2.90%,9.80%,14.84%
1130,PUTW,WisdomTree CBOE S&P 500 PutWrite Strategy Fund,Financial,Exchange Traded Fund,USA,,,31.12,-0.0026,12426.0,Horizontal S/R,1,-,-,-,-,0.05%,-,-,-,-,2.73%,-,-,-,-,- / -,2.37%,-,-,-,-,-,-6.60%,-,-,-,-,-,-8.28%,-,-,-,-,29.31,35.99,3.62%,1.30,-,-,-,-13.53%,-,4.16%,-,-,-,6.18%,0.27,-,-,-,-,58.58,0.80%,0.79%,No,-,-,-,0.48,31.20,Yes,-,-,-,25.78K,-,0.75%,1.61%,-1.61%
1131,IWX,iShares Russell Top 200 Value ETF,Financial,Exchange Traded Fund,USA,,,67.2,-0.009000000000000001,123976.0,"['Horizontal S/R', 'TL Resistance']",2,-,-,-,-,-0.64%,-,-,-,-,1.74%,-,-,-,-,- / -,4.93%,-,-,-,-,-,3.18%,-,-,-,-,-,-3.52%,-,-,-,-,57.03,71.06,3.43%,1.35,-,-,-,-5.43%,-,1.99%,-,-,-,17.83%,0.82,-,-,-,-,53.46,1.24%,1.18%,Yes,-,-,-,0.77,67.81,Yes,-,-,-,160.92K,-,0.27%,1.54%,4.45%
1132,IBDD,iShares iBonds Mar 2023 Term Corporate ETF,Financial,Exchange Traded Fund,USA,,,26.5,0.0007000000000000001,2124.0,"['Horizontal S/R', 'TL Support']",2,-,-,-,-,-0.04%,-,-,-,-,0.00%,-,-,-,-,- / -,0.28%,-,-,-,-,-,0.30%,-,-,-,-,-,-0.69%,-,-,-,-,26.25,26.87,-0.02%,0.69,-,-,-,-1.38%,-,2.59%,-,-,-,0.95%,0.06,-,-,-,-,45.87,0.18%,0.23%,No,-,-,-,0.06,26.48,Yes,-,-,-,37.33K,-,-0.12%,0.00%,0.12%
1133,SMLF,iShares MSCI USA Small-Cap Multifactor ETF,Financial,Exchange Traded Fund,USA,,,54.83,-0.012199999999999999,36840.0,Horizontal S/R,1,-,-,-,-,-0.60%,-,-,-,-,7.78%,-,-,-,-,- / -,8.90%,-,-,-,-,-,7.62%,-,-,-,-,-,3.28%,-,-,-,-,43.93,56.55,10.41%,0.61,-,-,-,-3.04%,-,1.10%,-,-,-,24.81%,0.87,-,-,-,-,60.42,1.66%,1.46%,No,-,-,-,0.45,55.51,Yes,-,-,-,82.41K,-,2.26%,5.73%,9.21%
1134,MXC,Mexco Energy Corporation,Energy,Oil & Gas E&P,USA,28470000.0,6.82,13.43,0.0189,1722.0,Horizontal S/R,1,-,1.93,0.80%,2.15M,-0.64%,-,-,88.28%,0.96M,7.69%,4.30M,-,-,7.60%,0.02% / 0.05,-15.54%,8.50M,3.35,-,-4.65%,0.00M,-27.22%,6.90,1.91,-,30.50%,-,31.27%,0.28,47.45,-,33.00%,9.96,43.00,7.60%,-,6.47,42.50%,23.60%,-68.77%,1.18,-,9.60,21.10%,82.50%,34.82%,0.37,2,9.60,43.70%,49.50%,52.09,2.39%,1.85%,No,0.00,65.20%,49.90%,0.59,13.18,Yes,0.00,Nov 09 AMC,0.00%,2.94K,-,1.29%,0.29%,-17.38%
1135,TEQI,T. Rowe Price Equity Income ETF,Financial,Exchange Traded Fund,USA,,,35.78,-0.0067,5727.0,"['Horizontal S/R', 'Head & Shoulders Inverse']",2,-,-,-,-,-0.49%,-,-,-,-,3.06%,-,-,-,-,- / -,5.68%,-,-,-,-,-,3.45%,-,-,-,-,-,-3.46%,-,-,-,-,30.58,38.07,5.00%,0.79,-,-,-,-6.01%,-,2.20%,-,-,-,17.02%,0.38,-,-,-,-,56.87,1.08%,0.99%,No,-,-,-,0.22,36.02,Yes,-,-,-,25.63K,-,0.96%,2.27%,4.77%
